text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,screenName,retweetCount
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,23-11-2016 18:11,FALSE,NA,8.01488E+17,NA,everG3,6
"15 days after #demonetization, country is still suffering 4m acute shortage of currency notes.
Big loss 2 economy
Share market tumbling
SOS",FALSE,0,NA,23-11-2016 18:11,FALSE,NA,8.01488E+17,NA,SaubhagyaVarma,0
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,FALSE,0,NA,23-11-2016 18:11,FALSE,NA,8.01488E+17,NA,Salimpa71373837,66
"RT @ashu3page: Man ends life over fund shortage ahead of daughter’s wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t…",FALSE,0,NA,23-11-2016 18:11,FALSE,NA,8.01488E+17,NA,khan96faiz,132
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,FALSE,0,NA,23-11-2016 18:11,FALSE,NA,8.01488E+17,NA,nitinpoddar,275
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,AnakhaRavindran,20
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,Jayaram84296692,112
"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,ilapakurthi,406
RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,gr8india,69
"Very unfortunate... India slips due to #demonetization 
@BJP4India @PMOIndia @RanaAyyub @TruthOfGujarat @AnupamPkher
https://t.co/6QhcGyBpKw",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,razikararvi,0
"What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using money 2 control people",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,Currency_crisis,1
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,MdShuaib7,9
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,shobhanpounikar,30
"RT @sitaramlamba: Cooperative banks shut down, sowing season completely disrupted, agri markets &amp; Farmers badly affected #demonetization",FALSE,0,NA,23-11-2016 18:10,FALSE,NA,8.01488E+17,NA,Arshkhankhan1,22
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,jaiinashish,30
RT @embracetheart: Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll #ModiScaredOfParliament…,FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,TeenaSingh882,1
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,mshivaram,95
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,rajdeepTwitting,15
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,fighterpirate7,6
"#Demonetization
https://t.co/0kq8BsJ1iS
When PM is in, opposition is out of parliament.",FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,AmereshSingh,0
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,23-11-2016 18:09,FALSE,NA,8.01488E+17,NA,itsmeroshan2121,20
RT @CMOMaharashtra: Watch what @sonunigam thinks about #demonetization .. https://t.co/vXt09c64zY,FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01488E+17,NA,enzacdesccom191,428
RT @ShashiTharoor: . @anandkamal Frankly i don't understand why @narendramodi doesn't address Parlmnt on #Demonetization. It's his duty&amp;wil…,FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01488E+17,NA,Sourabhprk,57
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01488E+17,NA,tauhid13,6
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01488E+17,NA,IamMLK48,6
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01488E+17,NA,indianmonk1,41
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01488E+17,NA,Dhriyamana,76
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,23-11-2016 18:08,FALSE,NA,8.01487E+17,NA,indianmonk1,20
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,23-11-2016 18:07,FALSE,NA,8.01487E+17,NA,DonMufflerMan,6
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,FALSE,0,NA,23-11-2016 18:07,FALSE,NA,8.01487E+17,NA,shubhamamdhare,66
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",FALSE,0,NA,23-11-2016 18:07,FALSE,NA,8.01487E+17,NA,SSP79,15
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",FALSE,0,NA,23-11-2016 18:07,FALSE,NA,8.01487E+17,NA,shobhanpounikar,19
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:06,FALSE,NA,8.01487E+17,NA,harishchawla74,76
